over,action,ball_type,run,Score,bowler,batsman
49.3,wicket,valid,0,W,Siraj,Starc
49.2,run,valid,4,4,Siraj,Starc
49.1,dot,valid,0,•,Siraj,Starc
48.6,run,valid,1,1,Hardik,Starc
48.5,run,valid,4,4,Hardik,Starc
48.4,dot,valid,0,•,Hardik,Starc
48.3,run,valid,1,1,Hardik,Hazlewood
48.2,wicket,valid,0,W,Hardik,Zampa
48.1,run,valid,1,1,Hardik,Starc
47.6,dot,valid,0,•,Siraj,Zampa
47.5,run,valid,1,1,Siraj,Starc
47.5,run,wide,1,1w,Siraj,Starc
47.4,run,valid,1,1,Siraj,Zampa
47.3,dot,valid,0,•,Siraj,Zampa
47.2,dot,valid,0,•,Siraj,Zampa
47.2,run,wide,1,1w,Siraj,Zampa
47.1,run,valid,1,1,Siraj,Starc
46.6,run,valid,1,1,Bumrah,Starc
46.6,run,wide,1,1w,Bumrah,Starc
46.5,dot,valid,0,•,Bumrah,Starc
46.4,dot,valid,0,•,Bumrah,Starc
46.3,dot,valid,0,•,Bumrah,Starc
46.2,run,valid,6,6,Bumrah,Starc
46.1,dot,valid,0,•,Bumrah,Starc
45.6,dot,valid,0,•,Ashwin,Zampa
45.5,run,valid,1,1,Ashwin,Starc
45.4,dot,valid,0,•,Ashwin,Starc
45.3,dot,valid,0,•,Ashwin,Starc
45.2,run,valid,1,1,Ashwin,Zampa
45.1,run,valid,1,1,Ashwin,Starc
44.6,dot,valid,0,•,Bumrah,Zampa
44.6,run,wide,1,1w,Bumrah,Zampa
44.5,run,valid,1,1,Bumrah,Starc
44.4,dot,valid,0,•,Bumrah,Starc
44.3,run,valid,1,1,Bumrah,Zampa
44.2,dot,valid,0,•,Bumrah,Zampa
44.1,run,valid,1,1,Bumrah,Starc
43.6,dot,valid,0,•,Jadeja,Zampa
43.5,dot,valid,0,•,Jadeja,Zampa
43.4,dot,valid,0,•,Jadeja,Zampa
43.3,dot,valid,0,•,Jadeja,Zampa
43.2,dot,valid,0,•,Jadeja,Zampa
43.1,dot,valid,0,•,Jadeja,Zampa
42.6,run,valid,1,1,Bumrah,Zampa
42.5,dot,valid,0,•,Bumrah,Zampa
42.4,run,valid,2,2,Bumrah,Zampa
42.3,dot,valid,0,•,Bumrah,Zampa
42.2,wicket,valid,0,W,Bumrah,Cummins
42.1,run,leg bye,1,1lb,Bumrah,Starc
41.6,run,leg bye,4,4lb,Jadeja,Cummins
41.5,dot,valid,0,•,Jadeja,Cummins
41.4,dot,valid,0,•,Jadeja,Cummins
41.3,dot,valid,0,•,Jadeja,Cummins
41.2,dot,valid,0,•,Jadeja,Cummins
41.1,dot,valid,0,•,Jadeja,Cummins
40.6,run,valid,1,1,Bumrah,Cummins
40.5,run,valid,2,2,Bumrah,Cummins
40.4,dot,valid,0,•,Bumrah,Cummins
40.3,dot,valid,0,•,Bumrah,Cummins
40.2,dot,valid,0,•,Bumrah,Cummins
40.1,run,valid,1,1,Bumrah,Starc
39.6,run,valid,4,4,Kuldeep,Cummins
39.5,dot,valid,0,•,Kuldeep,Cummins
39.4,dot,valid,0,•,Kuldeep,Cummins
39.3,run,valid,6,6,Kuldeep,Cummins
39.2,run,valid,1,1,Kuldeep,Starc
39.1,dot,valid,0,•,Kuldeep,Starc
38.6,dot,valid,0,•,Ashwin,Cummins
38.5,run,valid,1,1,Ashwin,Starc
38.4,run,valid,1,1,Ashwin,Cummins
38.3,run,valid,1,1,Ashwin,Starc
38.2,dot,valid,0,•,Ashwin,Starc
38.1,dot,valid,0,•,Ashwin,Starc
37.6,run,valid,1,1,Kuldeep,Starc
37.5,run,valid,1,1,Kuldeep,Cummins
37.4,dot,valid,0,•,Kuldeep,Cummins
37.3,dot,valid,0,•,Kuldeep,Cummins
37.2,dot,valid,0,•,Kuldeep,Cummins
37.1,dot,valid,0,•,Kuldeep,Cummins
36.6,dot,valid,0,•,Ashwin,Starc
36.5,dot,valid,0,•,Ashwin,Starc
36.4,dot,valid,0,•,Ashwin,Starc
36.3,dot,valid,0,•,Ashwin,Starc
36.2,wicket,valid,0,W,Ashwin,Green
36.1,dot,valid,0,•,Ashwin,Green
35.6,dot,valid,0,•,Kuldeep,Cummins
35.5,wicket,valid,0,W,Kuldeep,Maxwell
35.4,dot,valid,0,•,Kuldeep,Maxwell
35.3,run,valid,1,1,Kuldeep,Green
35.2,dot,valid,0,•,Kuldeep,Green
35.1,run,valid,1,1,Kuldeep,Maxwell
34.6,run,valid,1,1,Ashwin,Maxwell
34.5,run,valid,1,1,Ashwin,Green
34.4,dot,valid,0,•,Ashwin,Green
34.3,dot,valid,0,•,Ashwin,Green
34.2,run,valid,1,1,Ashwin,Maxwell
34.1,run,valid,1,1,Ashwin,Green
33.6,dot,valid,0,•,Jadeja,Maxwell
33.5,dot,valid,0,•,Jadeja,Maxwell
33.4,run,valid,1,1,Jadeja,Green
33.3,dot,valid,0,•,Jadeja,Green
33.2,run,valid,1,1,Jadeja,Maxwell
33.1,run,valid,1,1,Jadeja,Green
32.6,dot,valid,0,•,Bumrah,Maxwell
32.5,dot,valid,0,•,Bumrah,Maxwell
32.4,run,valid,1,1,Bumrah,Green
32.3,dot,valid,0,•,Bumrah,Green
32.2,dot,valid,0,•,Bumrah,Green
32.1,dot,valid,0,•,Bumrah,Green
31.6,dot,valid,0,•,Jadeja,Maxwell
31.5,run,valid,4,4,Jadeja,Maxwell
31.4,run,valid,1,1,Jadeja,Green
31.3,dot,valid,0,•,Jadeja,Green
31.2,run,valid,1,1,Jadeja,Maxwell
31.1,run,valid,1,1,Jadeja,Green
30.6,run,valid,2,2,Bumrah,Maxwell
30.5,dot,valid,0,•,Bumrah,Maxwell
30.4,dot,valid,0,•,Bumrah,Maxwell
30.4,run,wide,1,1w,Bumrah,Maxwell
30.3,dot,valid,0,•,Bumrah,Maxwell
30.3,run,wide,1,1w,Bumrah,Maxwell
30.2,dot,valid,0,•,Bumrah,Maxwell
30.1,dot,valid,0,•,Bumrah,Maxwell
29.6,dot,valid,0,•,Jadeja,Green
