over,action,ball_type,run,Score,bowler,batsman
41.2,run,valid,6,6,Cummins,Rahul
41.1,dot,valid,0,•,Cummins,Rahul
40.6,run,valid,1,1,Maxwell,Rahul
40.5,dot,valid,0,•,Maxwell,Rahul
40.4,run,valid,1,1,Maxwell,Hardik
40.3,run,valid,1,1,Maxwell,Rahul
40.2,run,valid,4,4,Maxwell,Rahul
40.1,run,valid,6,6,Maxwell,Rahul
39.6,dot,valid,0,•,Hazlewood,Hardik
39.5,run,valid,6,6,Hazlewood,Hardik
39.4,run,valid,1,1,Hazlewood,Rahul
39.4,run,wide,1,1w,Hazlewood,Rahul
39.3,run,valid,1,1,Hazlewood,Hardik
39.2,dot,valid,0,•,Hazlewood,Hardik
39.1,run,valid,1,1,Hazlewood,Rahul
38.6,run,valid,1,1,Maxwell,Rahul
38.5,run,valid,1,1,Maxwell,Hardik
38.4,run,valid,1,1,Maxwell,Rahul
38.3,dot,valid,0,•,Maxwell,Rahul
38.2,dot,valid,0,•,Maxwell,Rahul
38.1,run,valid,1,1,Maxwell,Hardik
37.6,dot,valid,0,•,Hazlewood,Rahul
37.5,run,valid,1,1,Hazlewood,Hardik
37.4,wicket,valid,0,W,Hazlewood,Kohli
37.3,dot,valid,0,•,Hazlewood,Kohli
37.2,dot,valid,0,•,Hazlewood,Kohli
37.1,dot,valid,0,•,Hazlewood,Kohli
36.6,run,valid,1,1,Zampa,Kohli
36.5,run,valid,1,1,Zampa,Rahul
36.4,dot,valid,0,•,Zampa,Rahul
36.3,run,valid,1,1,Zampa,Kohli
36.2,run,valid,2,2,Zampa,Kohli
36.1,run,valid,3,3,Zampa,Rahul
35.6,run,valid,1,1,Hazlewood,Rahul
35.5,run,valid,4,4,Hazlewood,Rahul
35.4,run,valid,2,2,Hazlewood,Rahul
35.3,dot,valid,0,•,Hazlewood,Rahul
35.2,dot,valid,0,•,Hazlewood,Rahul
35.1,run,valid,1,1,Hazlewood,Kohli
34.6,run,valid,1,1,Zampa,Kohli
34.5,dot,valid,0,•,Zampa,Kohli
34.4,run,valid,1,1,Zampa,Rahul
34.3,run,valid,1,1,Zampa,Kohli
34.2,run,valid,1,1,Zampa,Rahul
34.1,run,valid,1,1,Zampa,Kohli
33.6,run,valid,1,1,Starc,Kohli
33.5,run,valid,4,4,Starc,Kohli
33.4,dot,valid,0,•,Starc,Kohli
33.3,dot,valid,0,•,Starc,Kohli
33.2,run,valid,1,1,Starc,Rahul
33.1,run,valid,1,1,Starc,Kohli
32.6,run,valid,1,1,Zampa,Kohli
32.5,run,valid,1,1,Zampa,Rahul
32.4,dot,valid,0,•,Zampa,Rahul
32.3,run,valid,1,1,Zampa,Kohli
32.2,dot,valid,0,•,Zampa,Kohli
32.1,run,valid,4,4,Zampa,Kohli
31.6,dot,valid,0,•,Starc,Rahul
31.5,dot,valid,0,•,Starc,Rahul
31.4,run,valid,4,4,Starc,Rahul
31.3,run,valid,1,1,Starc,Kohli
31.2,dot,valid,0,•,Starc,Kohli
31.2,run,wide,1,1w,Starc,Kohli
31.1,run,valid,2,2,Starc,Kohli
30.6,dot,valid,0,•,Maxwell,Rahul
30.5,dot,valid,0,•,Maxwell,Rahul
30.4,run,valid,1,1,Maxwell,Kohli
30.3,run,valid,1,1,Maxwell,Rahul
30.2,run,valid,1,1,Maxwell,Kohli
30.1,run,valid,1,1,Maxwell,Rahul
29.6,dot,valid,0,•,Cummins,Kohli
29.5,dot,valid,0,•,Cummins,Kohli
29.4,dot,valid,0,•,Cummins,Kohli
29.3,run,valid,1,1,Cummins,Rahul
29.2,dot,valid,0,•,Cummins,Rahul
29.1,dot,valid,0,•,Cummins,Rahul
28.6,dot,valid,0,•,Maxwell,Kohli
28.5,run,valid,1,1,Maxwell,Rahul
28.4,dot,valid,0,•,Maxwell,Rahul
28.3,run,valid,1,1,Maxwell,Kohli
28.2,run,valid,1,1,Maxwell,Rahul
28.1,dot,valid,0,•,Maxwell,Rahul
27.6,run,valid,1,1,Cummins,Rahul
27.5,run,valid,1,1,Cummins,Kohli
27.4,run,valid,4,4,Cummins,Kohli
27.4,run,wide,1,1w,Cummins,Kohli
27.4,run,noball,1,1nb,Cummins,Kohli
27.3,run,bye,1,1b,Cummins,Rahul
27.2,run,valid,1,1,Cummins,Kohli
27.1,run,valid,1,1,Cummins,Rahul
26.6,run,valid,2,2,Zampa,Kohli
26.5,dot,valid,0,•,Zampa,Kohli
26.4,run,valid,1,1,Zampa,Rahul
26.3,dot,valid,0,•,Zampa,Rahul
26.2,run,valid,1,1,Zampa,Kohli
26.1,run,valid,1,1,Zampa,Rahul
25.6,dot,valid,0,•,Cummins,Kohli
25.5,dot,valid,0,•,Cummins,Kohli
25.4,dot,valid,0,•,Cummins,Kohli
25.3,run,valid,2,2,Cummins,Kohli
25.2,run,valid,1,1,Cummins,Rahul
25.1,dot,valid,0,•,Cummins,Rahul
24.6,dot,valid,0,•,Zampa,Kohli
24.5,dot,valid,0,•,Zampa,Kohli
24.4,run,valid,2,2,Zampa,Kohli
